# dc:title,教育部國語辭典簡編本詞庫,
# dc:rights,中華民國教育部（Ministry of Education, R.O.C.）。《國語辭典簡編本》（版本編號：2014_20251229 ）網址： http://dict.concised.moe.edu.tw /,
# dc:license,CC-BY-ND-3.0-TW,
# dc:identifier,2025.12.29,
薄懲,1,ㄅㄛˊ ㄔㄥˊ
薄紗,1,ㄅㄛˊ ㄕㄚ
薄弱,1,ㄅㄛˊ ㄖㄨㄛˋ
礴,1,ㄅㄛˊ
駁,1,ㄅㄛˊ
駁回,1,ㄅㄛˊ ㄏㄨㄟˊ
駁斥,1,ㄅㄛˊ ㄔˋ
駁船,1,ㄅㄛˊ ㄔㄨㄢˊ
駁雜,1,ㄅㄛˊ ㄗㄚˊ
蔔,1,ㄅㄛˊ
跛,1,ㄅㄛˇ
跛腳,1,ㄅㄛˇ ㄐㄧㄠˇ
簸,1,ㄅㄛˇ
播,1,ㄅㄛˋ
播報,1,ㄅㄛˋ ㄅㄠˋ
播放,1,ㄅㄛˋ ㄈㄤˋ
播弄,1,ㄅㄛˋ ㄋㄨㄥˋ
播遷,1,ㄅㄛˋ ㄑㄧㄢ
播種,1,ㄅㄛˋ ㄓㄨㄥˇ
播出,1,ㄅㄛˋ ㄔㄨ
播散,1,ㄅㄛˋ ㄙㄢˋ
播送,1,ㄅㄛˋ ㄙㄨㄥˋ
播音,1,ㄅㄛˋ ㄧㄣ
播揚,1,ㄅㄛˋ ㄧㄤˊ
播映,1,ㄅㄛˋ ㄧㄥˋ
薄,1,ㄅㄛˋ
薄荷,1,ㄅㄛˋ ㄏㄜˊ
薄荷腦,1,ㄅㄛˋ ㄏㄜˊ ㄋㄠˇ
薄荷油,1,ㄅㄛˋ ㄏㄜˊ ㄧㄡˊ
擘,1,ㄅㄛˋ
擘劃,1,ㄅㄛˋ ㄏㄨㄚˋ
簸,1,ㄅㄛˋ
簸箕,1,ㄅㄛˋ ㄐㄧ
掰,1,ㄅㄞ
白,1,ㄅㄞˊ
白白,1,ㄅㄞˊ ㄅㄞˊ
白報紙,1,ㄅㄞˊ ㄅㄠˋ ㄓˇ
白斑,1,ㄅㄞˊ ㄅㄢ
白板,1,ㄅㄞˊ ㄅㄢˇ
白璧無瑕,1,ㄅㄞˊ ㄅㄧˋ ㄨˊ ㄒㄧㄚˊ
白皮書,1,ㄅㄞˊ ㄆㄧˊ ㄕㄨ
白馬王子,1,ㄅㄞˊ ㄇㄚˇ ㄨㄤˊ ㄗˇ
白忙,1,ㄅㄞˊ ㄇㄤˊ
白茫茫,1,ㄅㄞˊ ㄇㄤˊ ㄇㄤˊ
白米,1,ㄅㄞˊ ㄇㄧˇ
白描,1,ㄅㄞˊ ㄇㄧㄠˊ
白木耳,1,ㄅㄞˊ ㄇㄨˋ ㄦˇ
白髮,1,ㄅㄞˊ ㄈㄚˇ
白費,1,ㄅㄞˊ ㄈㄟˋ
白飯,1,ㄅㄞˊ ㄈㄢˋ
白粉,1,ㄅㄞˊ ㄈㄣˇ
白搭,1,ㄅㄞˊ ㄉㄚ
白帶,1,ㄅㄞˊ ㄉㄞˋ
白帶魚,1,ㄅㄞˊ ㄉㄞˋ ㄩˊ
白道,1,ㄅㄞˊ ㄉㄠˋ
白地,1,ㄅㄞˊ ㄉㄧˋ
白頭,1,ㄅㄞˊ ㄊㄡˊ
白頭偕老,1,ㄅㄞˊ ㄊㄡˊ ㄒㄧㄝˊ ㄌㄠˇ
白頭翁,1,ㄅㄞˊ ㄊㄡˊ ㄨㄥ
白糖,1,ㄅㄞˊ ㄊㄤˊ
白鐵,1,ㄅㄞˊ ㄊㄧㄝˇ
白天,1,ㄅㄞˊ ㄊㄧㄢ
白內障,1,ㄅㄞˊ ㄋㄟˋ ㄓㄤˋ
白蘭地,1,ㄅㄞˊ ㄌㄢˊ ㄉㄧˋ
白領階級,1,ㄅㄞˊ ㄌㄧㄥˇ ㄐㄧㄝ ㄐㄧˊ
白露,1,ㄅㄞˊ ㄌㄨˋ
白骨,1,ㄅㄞˊ ㄍㄨˇ
白宮,1,ㄅㄞˊ ㄍㄨㄥ
白開水,1,ㄅㄞˊ ㄎㄞ ㄕㄨㄟˇ
白喉,1,ㄅㄞˊ ㄏㄡˊ
白花花,1,ㄅㄞˊ ㄏㄨㄚ ㄏㄨㄚ
白話,1,ㄅㄞˊ ㄏㄨㄚˋ
白話文,1,ㄅㄞˊ ㄏㄨㄚˋ ㄨㄣˊ
白金,1,ㄅㄞˊ ㄐㄧㄣ
白淨,1,ㄅㄞˊ ㄐㄧㄥˋ
白卷,1,ㄅㄞˊ ㄐㄩㄢˋ
白旗,1,ㄅㄞˊ ㄑㄧˊ
白皙,1,ㄅㄞˊ ㄒㄧ
白血病,1,ㄅㄞˊ ㄒㄧㄝˇ ㄅㄧㄥˋ
白血球,1,ㄅㄞˊ ㄒㄧㄝˇ ㄑㄧㄡˊ
白癬,1,ㄅㄞˊ ㄒㄧㄢˇ
白雪,1,ㄅㄞˊ ㄒㄩㄝˇ
白熊,1,ㄅㄞˊ ㄒㄩㄥˊ
白芷,1,ㄅㄞˊ ㄓˇ
白紙,1,ㄅㄞˊ ㄓˇ
白紙黑字,1,ㄅㄞˊ ㄓˇ ㄏㄟ ㄗˋ
白晝,1,ㄅㄞˊ ㄓㄡˋ
白煮蛋,1,ㄅㄞˊ ㄓㄨˇ ㄉㄢˋ
白吃,1,ㄅㄞˊ ㄔ
白痴,1,ㄅㄞˊ ㄔ
白砂,1,ㄅㄞˊ ㄕㄚ
白紗,1,ㄅㄞˊ ㄕㄚ
白手起家,1,ㄅㄞˊ ㄕㄡˇ ㄑㄧˇ ㄐㄧㄚ
白手成家,1,ㄅㄞˊ ㄕㄡˇ ㄔㄥˊ ㄐㄧㄚ
白說,1,ㄅㄞˊ ㄕㄨㄛ
白水,1,ㄅㄞˊ ㄕㄨㄟˇ
白日,1,ㄅㄞˊ ㄖˋ
白日夢,1,ㄅㄞˊ ㄖˋ ㄇㄥˋ
白熱化,1,ㄅㄞˊ ㄖㄜˋ ㄏㄨㄚˋ
白刃,1,ㄅㄞˊ ㄖㄣˋ
白字,1,ㄅㄞˊ ㄗˋ
白做,1,ㄅㄞˊ ㄗㄨㄛˋ
白菜,1,ㄅㄞˊ ㄘㄞˋ
白色,1,ㄅㄞˊ ㄙㄜˋ
白矮星,1,ㄅㄞˊ ㄞˇ ㄒㄧㄥ
白衣天使,1,ㄅㄞˊ ㄧ ㄊㄧㄢ ㄕˇ
白蟻,1,ㄅㄞˊ ㄧˇ
白眼,1,ㄅㄞˊ ㄧㄢˇ
白雲,1,ㄅㄞˊ ㄩㄣˊ
白雲蒼狗,1,ㄅㄞˊ ㄩㄣˊ ㄘㄤ ㄍㄡˇ
百,1,ㄅㄞˇ
百倍,1,ㄅㄞˇ ㄅㄟˋ
百寶箱,1,ㄅㄞˇ ㄅㄠˇ ㄒㄧㄤ
百般,1,ㄅㄞˇ ㄅㄢ
百病,1,ㄅㄞˇ ㄅㄧㄥˋ
百病叢生,1,ㄅㄞˇ ㄅㄧㄥˋ ㄘㄨㄥˊ ㄕㄥ
百步穿楊,1,ㄅㄞˇ ㄅㄨˋ ㄔㄨㄢ ㄧㄤˊ
